Name,Conference Website,GitGuardian Blog,Date,Role
 CodeMash 2025,https://codemash.org/,https://blog.gitguardian.com/codemash-2025/,2025-01-17,Speaker
Wild West Hackin' Fest @ Mile High 2025,https://www.intelliguards.com/intellic0n,https://blog.gitguardian.com/wild-west-hackin-fest-mile-high/,2025-02-07,Speaker
IntelliC0N 2025,https://www.intelliguards.com/intellic0n?ref=blog.gitguardian.com,https://blog.gitguardian.com/intellic0n-2025/,2025-02-19,Speaker
Devnexus 2025,https://devnexus.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/devnexus-2025/,2025-03-06,Speaker
SnowFROC,https://snowfroc.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/snowfroc-2025/,2025-03-14,Speaker
BSides San Diego 2025,https://www.bsidessd.org/2025-event-details/schedule?ref=blog.gitguardian.com,https://blog.gitguardian.com/bsides-sd-2025/,2025-03-29,Speaker
STL TechWeek 2025,https://techstl.com/techweek/?ref=blog.gitguardian.com,https://blog.gitguardian.com/stl-techweek-2025/,2025-04-04,Speaker
ATLSECCON 2025,https://www.atlseccon.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/atlseccon-2025-security-readiness-means-human-readiness/,2025-04-11,Speaker
Bsides Seattle 2025,https://www.bsidesseattle.com/2025-schedule.html?ref=blog.gitguardian.com,https://blog.gitguardian.com/bsides-seattle-2025/,2025-04-19,Speaker
Bsides SF 2025,https://bsidessf.org/,https://blog.gitguardian.com/bsidessf-2025/,2025-04-26,Speaker
RSA Confernece 2025,https://www.rsaconference.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/rsa-conference-2025/,2025-04-28,Attendee
php[tek] 2025,https://2025.phptek.io/,https://blog.gitguardian.com/security-starts-with-developer-enablement-lessons-from-php-tek-2025/,2025-05-22,Speaker
Bsides 312,https://bsides312.org/?ref=blog.gitguardian.com,https://blog.gitguardian.com/bsides312-2025/,2025-06-01,Speaker
Identiverse 2025,https://identiverse.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/identiverse-2025/,2025-06-07,Speaker
ShowMeCon 2025,https://showmecon.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/showmecon-2025/,2025-06-10,Speaker
BSides San Antonio 2025,https://www.bsidessatx.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/bsides-satx-2025/,2025-06-21,Speaker
ISACA SF Chapter Happy Hour,https://engage.isaca.org/sanfranciscochapter/home,,2025-07-31,Speaker
BSides Las Vegas 2025,https://www.bsideslv.org/?ref=blog.gitguardian.com,https://blog.gitguardian.com/bsides-las-vegas-2025/,2025-08-04,Speaker
DEF CON 33,https://defcon.org/html/defcon-33/dc-33-index.html,,2025-08-07,Attendee
CodeSecCon,https://www.codeseccon.com/,,2025-08-13,Speaker
DEF CON 407 Group,https://dc407.com/category/online/,,2025-08-14,Speaker
BlueTeamCon 2025,https://blueteamcon.com/?ref=blog.gitguardian.com,https://blog.gitguardian.com/blueteamcon-2025/,2025-09-07,Speaker
DjangoCon 2025,https://2025.djangocon.us/,https://blog.gitguardian.com/djangocon-us-2025/,2025-09-10,Speaker
OWASP AppSec Days France 2025,https://www.owaspappsecdays.fr/2025?ref=blog.gitguardian.com,https://blog.gitguardian.com/owasp-appsecdays-france-2025/,2025-09-23,Speaker
DevOpsDays Philadelphia 2025,https://devopsdays.org/events/2025-philadelphia/welcome/?ref=blog.gitguardian.com,https://blog.gitguardian.com/devops-days-philly-2025/,2025-10-01,Speaker
SRE Day SF 2025,https://sreday.com/2025-san-francisco-q4/?ref=blog.gitguardian.com,https://blog.gitguardian.com/sreday-sf-2025/,2025-10-03,Speaker
CornCon 2025,https://corncon.net/?ref=blog.gitguardian.com,https://blog.gitguardian.com/corncon-11/,2025-10-11,Speaker
INCYBER Forum Canada 2025,https://northamerica.forum-incyber.com/en/home-en/?ref=blog.gitguardian.com,https://blog.gitguardian.com/incyber-forum-canada-2025/,2025-10-15,Speaker
OWASP LASCON 2025,https://lascon.org/?ref=blog.gitguardian.com,https://blog.gitguardian.com/lascon-xv/,2025-10-24,Speaker
Techno Security West 2025,https://www.technosecurity.us/west?ref=blog.gitguardian.com,https://blog.gitguardian.com/techno-security-and-digital-forensics-conference-west-2025/,2025-10-29,Speaker
BSides Chicago,https://bsideschicago.org/?ref=blog.gitguardian.com,https://blog.gitguardian.com/bsides-chicago-2025/,2025-11-01,Speaker
Queen City Con 2025,http://queencitycon.org/?ref=blog.gitguardian.com,https://blog.gitguardian.com/queen-city-con-0x3/,2025-11-09,Speaker
CyberArk Workload Identity Zero Day Atlanta,https://lp.cyberark.com/20251110-cyberark-workload-identity-day-zero-atlanta-registration.html?ref=blog.gitguardian.com,https://blog.gitguardian.com/workload-identity-day-zero-atlanta/,2025-11-10,Speaker
KubeCon + CloudNativeCon North America 2025,https://events.linuxfoundation.org/kubecon-cloudnativecon-north-america/?ref=blog.gitguardian.com,https://blog.gitguardian.com/kubecon-2025/,2025-10-11,Attendee
/dev/mtl 2025,https://www.dev-mtl.ca/?ref=blog.gitguardian.com,https://blog.gitguardian.com/dev-mtl-2025/,2025-11-28,Speaker
